date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:54:21	55020/55020	---M-Z	200	added ('OK')	text/html	etag:%22d6ec-63f8b396-bfcf2886556c0d8d;gz%22	https://daynightonline.in/ticket100010.html	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/ticket100010.html	(from )
13:54:21	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-632d8812-70ef591507445cb1;gz%22	https://daynightonline.in/robots.txt		(from )
13:54:27	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Mar%202023%2008:24:27%20GMT	http://starttambola.com/publish/themeStore/db/100009/img/call.png	C:/My%20Web%20Sites/TAMOBLA/starttambola.com/publish/themeStore/db/100009/img/call.4.delayed	(from https://daynightonline.in/ticket100010.html)
13:54:29	1660/1660	---M--	200	added ('OK')	image/png	etag:%2267c-62f27ae2-855b4d517c149af6;;;%22	https://starttambola.com/publish/themeStore/db/100009/img/call.png	C:/My%20Web%20Sites/TAMOBLA/starttambola.com/publish/themeStore/db/100009/img/call.png	(from https://daynightonline.in/ticket100010.html)
13:54:30	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Mar%202023%2008:24:31%20GMT	http://starttambola.com/publish/themeStore/db/100009/img/wp.png	C:/My%20Web%20Sites/TAMOBLA/starttambola.com/publish/themeStore/db/100009/img/wp.6.delayed	(from https://daynightonline.in/ticket100010.html)
13:54:31	1242/1242	---M--	200	added ('OK')	image/png	etag:%224da-62f27ae6-5c342cb0c3cc00e5;;;%22	https://starttambola.com/publish/themeStore/db/100009/img/wp.png	C:/My%20Web%20Sites/TAMOBLA/starttambola.com/publish/themeStore/db/100009/img/wp.png	(from https://daynightonline.in/ticket100010.html)
13:54:32	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Mar%202023%2008:24:33%20GMT	http://starttambola.com/publish/themeStore/db/100009/img/agent.png	C:/My%20Web%20Sites/TAMOBLA/starttambola.com/publish/themeStore/db/100009/img/agent.8.delayed	(from https://daynightonline.in/ticket100010.html)
13:54:33	1545/1545	---M--	200	added ('OK')	image/png	etag:%22609-62f27adc-94770f6780f973ef;;;%22	https://starttambola.com/publish/themeStore/db/100009/img/agent.png	C:/My%20Web%20Sites/TAMOBLA/starttambola.com/publish/themeStore/db/100009/img/agent.png	(from https://daynightonline.in/ticket100010.html)
13:54:34	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Mar%202023%2008:24:35%20GMT	http://starttambola.com/publish/themeStore/db/100009/img/login.png	C:/My%20Web%20Sites/TAMOBLA/starttambola.com/publish/themeStore/db/100009/img/login.a.delayed	(from https://daynightonline.in/ticket100010.html)
13:54:35	999/999	---M--	200	added ('OK')	image/png	etag:%223e7-62f27ae3-7c8d0eca61d8be64;;;%22	https://starttambola.com/publish/themeStore/db/100009/img/login.png	C:/My%20Web%20Sites/TAMOBLA/starttambola.com/publish/themeStore/db/100009/img/login.png	(from https://daynightonline.in/ticket100010.html)
13:54:36	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/My%20Web%20Sites/TAMOBLA/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://daynightonline.in/ticket100010.html)
13:54:37	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Mar%202023%2008:24:37%20GMT	http://starttambola.com/publish/themeStore/db/100008/img/bg.png	C:/My%20Web%20Sites/TAMOBLA/starttambola.com/publish/themeStore/db/100008/img/bg.c.delayed	(from https://daynightonline.in/ticket100010.html)
13:54:45	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2004%20Mar%202023%2008:24:39%20GMT	https://daynightonline.in/checkLegitimacy.php	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/checkLegitimacy.e.delayed	(from https://daynightonline.in/ticket100010.html)
13:54:52	255751/255751	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Dec%202014%2018:19:44%20GMT	http://www.fun-lover.com/mirrors/0i4i/theme/west2/png/hdrs1.png	C:/My%20Web%20Sites/TAMOBLA/www.fun-lover.com/mirrors/0i4i/theme/west2/png/hdrs1.png	(from https://daynightonline.in/ticket100010.html)
13:54:52	259843/259843	---M--	200	added ('OK')	image/png	etag:%223f703-62d9127c-3721e8b6281b1796;;;%22	https://starttambola.com/publish/themeStore/db/100008/img/bg.png	C:/My%20Web%20Sites/TAMOBLA/starttambola.com/publish/themeStore/db/100008/img/bg.png	(from https://daynightonline.in/ticket100010.html)
13:54:52	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Mar%202023%2008:24:47%20GMT	https://daynightonline.in/Ui/adminUi	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/Ui/adminUi.10.delayed	(from https://daynightonline.in/ticket100010.html)
13:54:55	900138/900138	---M--	200	added ('OK')	image/png	etag:%22dbc2a-63f8b490-90cb5cf7763d1016;;;%22	https://daynightonline.in/Ui/imgAsset/banner.png?v=7	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/Ui/imgAsset/bannerbea6.png	(from https://daynightonline.in/ticket100010.html)
13:54:55	45868/45868	---M-Z	200	added ('OK')	text/html	etag:%22b32c-63f8b396-5b41e59ea90e4752;gz%22	https://daynightonline.in/Ui/adminUi/	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/Ui/adminUi/index.html	(from https://daynightonline.in/ticket100010.html)
13:54:56	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Mar%202023%2008:24:56%20GMT	https://daynightonline.in/Ui/agentUi	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/Ui/agentUi.11.delayed	(from https://daynightonline.in/ticket100010.html)
13:54:56	11827/11827	---M--	200	added ('OK')	image/png	etag:%222e33-63f8b396-153312306f6abc36;;;%22	https://daynightonline.in/Ui/imgAsset/chat.png	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/Ui/imgAsset/chat.png	(from https://daynightonline.in/ticket100010.html)
13:54:56	27181/27181	---M-Z	200	added ('OK')	text/html	etag:%226a2d-63f8b396-9354dc081c35830e;gz%22	https://daynightonline.in/Ui/agentUi/	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/Ui/agentUi/index.html	(from https://daynightonline.in/ticket100010.html)
13:54:56	80/80	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2008:24:57%20GMT	https://daynightonline.in/Ui/userUi/php/getBookingStatistic.php	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/Ui/userUi/php/getBookingStatistic.html	(from https://daynightonline.in/ticket100010.html)
13:54:57	9/9	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2008:24:57%20GMT	https://daynightonline.in/Ui/userUi/php/getAnnouncement.php	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/Ui/userUi/php/getAnnouncement.html	(from https://daynightonline.in/ticket100010.html)
13:54:57	844/844	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2008:24:58%20GMT	https://daynightonline.in/api/gameApi/getGameStatus.php	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/api/gameApi/getGameStatus.html	(from https://daynightonline.in/ticket100010.html)
13:54:57	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2004%20Mar%202023%2008:24:58%20GMT	https://daynightonline.in/	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/index.html	(from https://daynightonline.in/ticket100010.html)
13:54:58	3583/3583	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2008:24:58%20GMT	https://daynightonline.in/Ui/userUi/php/getAvailableTicket.php	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/Ui/userUi/php/getAvailableTicket.html	(from https://daynightonline.in/ticket100010.html)
13:54:58	64439/64439	---M--	200	added ('OK')	audio/mpeg	etag:%22fbb7-63f8b396-f38867c0fd6f8bff;;;%22	https://daynightonline.in/tambolaCallMp3/please%20book%20ticket.mp3	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/tambolaCallMp3/please%20book%20ticket.mp3	(from https://daynightonline.in/ticket100010.html)
13:54:59	1279532/1279532	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2008:24:59%20GMT	https://daynightonline.in/Ui/userUi/php/getAgentList.php	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/Ui/userUi/php/getAgentList.html	(from https://daynightonline.in/ticket100010.html)
13:55:03	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-636007e6-22289352e1e96cd5;gz%22	https://starttambola.com/ticketImg/-src-.png	C:/My%20Web%20Sites/TAMOBLA/starttambola.com/ticketImg/-src-.19.delayed	(from https://daynightonline.in/ticket100010.html)
13:55:04	504/504	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2008:25:05%20GMT	https://daynightonline.in/Ui/userUi/php/searchAllTicket.php	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/Ui/userUi/php/searchAllTicket.html	(from https://daynightonline.in/ticket100010.html)
13:55:04	68511/68511	---M-Z	200	added ('OK')	text/html	etag:%2210b9f-63f8b396-7bc09e1f8be12237;gz%22	https://daynightonline.in/home100010.html	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/home100010.html	(from https://daynightonline.in/ticket100010.html)
13:55:05	335/335	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2008:25:05%20GMT	https://daynightonline.in/api/chatApi/chatSend.php	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/api/chatApi/chatSend.html	(from https://daynightonline.in/ticket100010.html)
13:55:05	76/76	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2008:25:06%20GMT	https://daynightonline.in/api/chatApi/getChat.php	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/api/chatApi/getChat.html	(from https://daynightonline.in/ticket100010.html)
13:55:05	167/167	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2008:25:06%20GMT	https://daynightonline.in/api/chatApi/chatInitiat.php	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/api/chatApi/chatInitiat.html	(from https://daynightonline.in/ticket100010.html)
13:55:05	191/191	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2008:25:06%20GMT	https://daynightonline.in/api/chatApi/autoChatInitiate.php	C:/My%20Web%20Sites/TAMOBLA/daynightonline.in/api/chatApi/autoChatInitiate.html	(from https://daynightonline.in/ticket100010.html)
